model,batch_size,max_len,rep_len,fwd_ms_per_batch,fwd_ms_per_candidate,peak_vram_mb,tokens_per_sec
mamba-130m-lora,1,256,65,15.0339,15.0339,283.7,4323.6
mamba-130m-lora,4,256,65,15.2338,3.8084,344.6,17067.3
mamba-130m-lora,8,256,65,15.3327,1.9166,426.6,33914.4
mamba-130m-lora,16,256,65,15.6349,0.9772,588.9,66517.9
mamba-130m-lora,1,384,65,15.1939,15.1939,283.7,4278.0
mamba-130m-lora,4,384,65,15.2938,3.8234,344.6,17000.4
mamba-130m-lora,8,384,65,15.334,1.9168,426.6,33911.5
mamba-130m-lora,16,384,65,15.3379,0.9586,588.9,67805.7
mamba-130m-lora,1,512,65,15.0966,15.0966,283.7,4305.6
mamba-130m-lora,4,512,65,15.2487,3.8122,344.6,17050.6
mamba-130m-lora,8,512,65,15.0649,1.8831,426.6,34517.3
mamba-130m-lora,16,512,65,15.3449,0.9591,588.9,67775.1
pythia-160m-lora-tuned,1,256,65,9.8844,9.8844,647.1,6576.0
pythia-160m-lora-tuned,4,256,65,10.0526,2.5132,684.4,25863.8
pythia-160m-lora-tuned,8,256,65,8.2023,1.0253,740.1,63396.7
pythia-160m-lora-tuned,16,256,65,7.243,0.4527,828.0,143586.9
pythia-160m-lora-tuned,1,384,65,7.2028,7.2028,647.1,9024.3
pythia-160m-lora-tuned,4,384,65,7.2008,1.8002,684.4,36107.2
pythia-160m-lora-tuned,8,384,65,7.2445,0.9056,740.1,71778.1
pythia-160m-lora-tuned,16,384,65,8.184,0.5115,828.0,127078.0
pythia-160m-lora-tuned,1,512,65,9.8737,9.8737,647.1,6583.1
pythia-160m-lora-tuned,4,512,65,7.9978,1.9994,684.4,32509.0
pythia-160m-lora-tuned,8,512,65,7.2296,0.9037,740.1,71926.6
pythia-160m-lora-tuned,16,512,65,7.2126,0.4508,828.0,144192.3
cross-encoder-MiniLM-L6,1,256,65,3.7437,3.7437,351.6,
cross-encoder-MiniLM-L6,4,256,65,4.3423,1.0856,354.1,
cross-encoder-MiniLM-L6,8,256,65,5.0666,0.6333,356.0,
cross-encoder-MiniLM-L6,16,256,65,6.3757,0.3985,365.7,
cross-encoder-MiniLM-L6,1,384,65,3.7326,3.7326,351.6,
cross-encoder-MiniLM-L6,4,384,65,4.3525,1.0881,354.1,
cross-encoder-MiniLM-L6,8,384,65,4.9715,0.6214,356.0,
cross-encoder-MiniLM-L6,16,384,65,6.4214,0.4013,365.7,
cross-encoder-MiniLM-L6,1,512,65,3.7685,3.7685,351.6,
cross-encoder-MiniLM-L6,4,512,65,4.3799,1.095,354.1,
cross-encoder-MiniLM-L6,8,512,65,5.0509,0.6314,356.0,
cross-encoder-MiniLM-L6,16,512,65,6.7055,0.4191,365.7,
